	text	is_hate
71	Metal: Honor [ Poland ] , Defensor 14 [ Poland ] , Ekspansja [ Poland ] , Hools Attack [ Poland ] , Kolovrat [ Russia ] , Moscow Band [ Russia ] , Ancestors [ Slovakia ] , Conflict 88 [ Czech ] NSBM : Arkona [ Poland ] , Gontyna Kry [ Poland ] , Inferium [ Poland ] , Kataxu [ Poland ] , Thunderbolt [ Poland ] , Veles [ Poland ] , Wojnar [ Poland ] , Wolf 's Moon [ Poland ] ( vocals by Szczecry of Honor ) , and Woodtemple [ Poland ] I used to download from Kazaa but I got tired of all the adware and viruses I got from there .	0
72	WTF is wrong with u allowing your children to have non white friends ?	1
73	I try to keep up with as many flyers as I can on this site : http://www.whitefreespeech.com/flyers.html And I 'm usually looking for others to add as well .	0
74	I'm from the suburbs of Chicago , everyone always says there are alot of skinheads out here but i have had trouble finding any	0
75	Anyway good luck all .	0
76	At least they picked an appropriate name ... it seems like they are a bunch of kooks .	0
77	I support this 100 % !	0
78	ish unfortunately .	1
79	Perhaps when I retire .	0
80	A federal judge in New York closed a filthy  kosher slaughterhouse Tuesday , saying the plant 's dirty birds posed a health risk to the community .	1
81	 in South Africa wondering why their country is going to hell when they put  in charge .	1
82	Exactly if there was a network of devoted white nationalists across Canada there 's no knowing what we could actually accomplish .	0
83	Unfortunately no. You could always try to start your own business though , and use it for something that would cater primarily to whites .	0
84	I usually use Powerade or Sqwincher .	0
85	This site is hilarious !	0
86	MORON	0
87	http://www.guardian.co.uk/print/0,,3...117780,00.html Executive summary : the negroes never domesticated any plants or animals .	0
88	WOW!	0
89	Click to enlarge , then save to desktop to use ! cb punet square1.PNG cbr punet square1.PNG ca punet square1.PNG I made these a few days ago and was using them on Craig 's List in Europe .	0
90	White men who watch professional sports can try and put a spin on it like they 're the Roman elite watching all the slaves fight in the Colosseum , but the fact of the matter is they 're just contributing to negro worship .	0
91	Keep your eyes open at all times for fallen powerlines .	0
92	Why do you have the need to celebrate anyone 's birthday that day anyway ?	0
93	Unfortunately I 'm over by Houston.Funny.I was born in Bastrop , La.	0
94	The reasons : Alcoholism takes around 150000 lives every year .	0
95	Go to https : //www.stormfront.org/forum/show ... threadid = 22812 There s a cool picture of my friend no 1965 chain immigrants !!	0
96	YouTube - Milk The Deadly Poison WATCH THIS !!!	0
97	I was away for the weekend that is why I did get around to posting my blood group ( I do n't see why I should bother anyway ) BTW , I am in blood group `` O ''	0
98	Please feel free to pm me or email me anytime .	0
99	ETA of shaved head ....... some time in 2009 : P	0
100	5. length of school day/school year 5 days a week .	0
101	Sørensen , 19 years old , was born April 8 , 1982 in Kolding .	0
102	I read recently in cold  and white print that there was around 10,000 nigerians in Ireland ... Now you say close to 300,000 ????!	0
103	Maybe next time he 'll think twice before picking fights .	0
104	Please e-mail or IM me .	0
105	Sounds like paradise to me .	0
106	I think you will probably run out of places to run and hide if you do n't attempt to make some sort of stand where you are .	0
107	http://www.news4jax.com/news/25976955/detail.html	0
108	Rifles ?	0
109	If it 's really this easy for an admittedly skilled hypnotist to do this to people , what could CIA/KGB/MI6/etc do with full , unrestrained control over someone ?	0
110	There will be hundreds of thousands of white people fleeing your proverbial sea of mud this is where we come in .	1
111	Remind them that they 're just another  tool and that they are basically spitting on the graves of millions of people that were murdered by real Communists .	1
112	He's a race traitor .	1
113	M & p Vtac 45 5 .	0
114	Then maybe it 's possible that female circumcision is no worse than male circumcision if done in the way you explained .	0
115	Why not have it so every flyer has all the White languages on it ( in small print ) , yet have their native language in large print once on the top of the other translations , then once below it .	0
116	Meanwhile back in their ancestral homelands their races are and will always remain the overwhelming majority .	0
117	Well, I finished Electrical Engineering at Texas Tech , and came away with four job offers.and wound up with enough money to buy houses and cars and keep my wife happy .	0
118	Any regulation will hurt us , not them .	0
119	Frederick Burton .	0
120	"The bodies of dead goats , geese , sheep , and ducks had also been discovered "" ."	0
121	I grew up near Little Italy ( not NY ) and parents grew up in Brooklyn .	0
122	We all know that when their are too many ethnics , the neighbourhood soon turn 's into a slum .	1
123	Hey Frank if I wasnt on the other side of the planet would I do .	0
124	( Now over 16,000 Downloads ! )	0
125	Front page of this weeks Folio Weekly ( free , and well-worth the price ) : Cover Story Running Like Crazy A new breed of fun runs with color , glow sticks and zombies leaves purists wondering what s next Jahshawn Marconi , Michelle Krueger , Carley Glasser , Britta Fortson , Madeline Fortson , Marisa Kenyon Zahariadis , Dillon Hawkins , Cody Burton , Sam Costanzo , Marci Gurnow , David Martinson and Sean Nagorny DENNIS HO	0
126	 have shown as they are able to survive all year round sitting on their arse waiting for comic relief .	1
127	Well, I 'm not a skin nor I 'm from San Diego , however I 'm glad to see you back .	0
128	There is SO much physical and scientific evidence that ancient Egyptians were not negro .	0
129	And this is why SA went from First World under Botha 's rule ( deKlerk does n't count ) to a Third World begger horde .	1
130	You my brother are a great nationalist ; and I can only hope that your truths find their way into the hearts of our nation .	0
131	Or a classified section for employment or contract services .	0
132	We have a saying in South Africa : As die kop dom is moet die lyf sukkel .	0
133	I have n't seen it yet but I can tell you hand on heart not everyone on Benefits is scrounging scum .	0
134	The idea that homeschooled kids do n't get socialized is ludicrous .	0
135	As fast as nature is trying to thin them out , our country is undoing the work .	0
136	Watch the video the New York Times did n't Want You to See - YouTube	0
137	The natural royality of the planet was not the posing apes , but the Overman .	1
138	Eventually , the city would take it back and I 'd be out ten bucks. more entertainment .	0
139	Ahead of their time , as you said Canada day is not about whites and their progeny who founded this nation anymore .	0
140	You 'll never build it .	0
141	Any ideas ?	0
142	I wish you luck , is it any wonder  males lust for our White women ?	1
143	We will all be sitting in around in filth waiting for death .	0
144	No but I was typing fast and must 've pushed shift too early ( since you need to push shift to use the ? symbol )	0
145	Who are they ?	0
146	-Yankee Jim	0
147	Well done guys lets keep sticking it to the system !	0
148	Charles Burton Barber .	0
149	Israel 3rd Worldwide in ' Millionaire Growth ' in 2009 - Finances & Business - Israel News - Israel National News	0
150	That is because Lycurgus has been on moderation forever and should be let off .	0
151	The Silver Medal Women 's US Softball team is probably all dykes considering how much dykes like softball .	0
152	My kinda place !	0
153	Gotta represent my coconuts and mangos yo !!	1
154	When that city is cleaned up , we may have to go door to door with pitchforks and a garbage truck .	0
155	And teach her to carry it in a place she can get to it quickly .	0
156	You can always pick up some 6-8 `` diameter pvc/poly pipe and cap the ends .	0
157	There was lots of talk a few years ago of Asian students performing brilliantly , outperforming many Whites and others in school .	0
158	Another regional administration was capture - Vinnytsya. ?????????? ?????????? ???????	0
159	His full name is Saylum .	0
160	Our family members are often the hardest people for us to reach but the most worth it when we do .	0
161	Quantum entanglement would indicate that quanta do `` communicate '' faster than the speed of light .	0
162	They all have guns and are trained in martial arts .	0
163	Acting like an animal show 's nothing .	0
164	No wonder this country is in trouble	0
165	Border fence , what border fence ?	0
166	Now there practically giving Ireland away .	0
167	Fatal shooting victim Police find murder victim Clinton woman 's death ruled a homicide	0
168	New from Ruger : LCR in 9mm - The Truth About Guns	0
169	I just buy the movies/shows I like on DVD .	0
170	I have read a 70 -/ + million figure , 92.5 million figure and an estimate of over 100 million figure So I compromised at 90 .	0
171	I do n't know if that is true .	0
172	Thanks for the advice i 'll keep that on mind .	0
173	Those kids get the candy from the good bowl .	0
174	May I ask , how then do you describe a typical Georgian appearance ?	0
175	Really?	0
176	Hello, I 'm Mike , I 've been reading these board for some time now and finally got around to registering .	0
177	i am a white nationalist of a christian faith but still am a white nationalist for racial survival the anti racist christians are the true chirstians ememy	1
178	Never leave your children unguarded !	0
179	I dont think we would get their $	0
180	Elmira, N.Y.	0
181	When Emily was murdered my wife sent the info to Nancy Grace and there was not a word said about it .	0
182	Yeah, Des Moines .	0
183	I will soon post photos of my cats .... 6 of them .	0
184	i'd love to hang out with anyone since there 's very few white nationalists here if any one wants to please PM because i really need some people to hang out with	0
185	I just do n't understand .	0
186	I hope that in Sunday we will have a healthy nationalist goverment .	0
187	January 29th , 2012 - Whitefish Lake frozen over .	0
188	 and s were represented thoroughly. do yourselves a favor , shoot your t.v. !	1
189	Regards , Kyle	0
190	Try buying some of the `` Carolus Rex '' compilations .	0
191	You 've managed to do the total opposite and created meaningless arguments that will get us nowhere .	0
192	Dont even have to include a face .	0
193	new to the hole scene 20/m from connecticut make sure you find the real people and not the hole fake wp people	0
194	The enemy of Germany has been inside the borders for some time .	0
195	I will be purchasing the kit next week .	0
196	2508	0
197	`` My message to UPA and Bandera scum from a Polish American small town politician from Pennsylvania ....	0
198	Mistreat ( Finland ) - Oi ! ( This band is great !! )	0
199	I would expect more minute particles of aluminum to be left behind in your firearm in comparison to brass .	0
200	Have you ever spent time outside of the Vancouver area ?	0
201	Also if your intrested check out our webpage for more info on our european american town we are building !	0
202	She is white .	0
203	Every ethnic Ukrainian I have ever met was White .	0
204	 is a color but the Negroids more than not resemble a walking pile of feces with arms and legs ... they even stink !	1
205	I heard from friends in Boston this is true. will attack an Irish America with a shamrock tattoo.How long before this happens in Ireland ?	1
206	Im surprised C18 wasnt mentioned , they always are when the OB smash the EVIL neo = nazis Yellow press at its best	1
207	They show some football and ice hockey + American garbage shows .	0
208	That's very true because they would lose a one on one fight almost every time .	0
209	Not to mention the fact that I had never heard of it anywhere before .	0
210	YouTube - Woman Opens Strip Club In Trailer Home For Teens And Offers Lap Dances To Children !	0
211	Anti-White C * * T.	0
212	Hey everyone I would like to get together with some people from my state that are like me .	0
213	Normally not a fan of beer but it was cheap and pretty good .	0
214	The census results will be released next year .	0
215	That is only when they began speaking English as a majority .	0
216	I think you should write a book as well .	0
217	Cholera is most common in Africa , southern and Southeast Asia , and the Middle East .	0
218	I love my big dog ...	0
219	Hi i have not been on here in ages .	0
220	I'm happy to hear Ms. Rosen will survive and hopefully put this behind her at some point ?	0
221	I wonder why the ish Media always pretends that all the blood thirsty third world savages are victims and it is all Whitey 's fault ?	1
222	I love listening to their stories of how things used to be .	0
223	She looks arabic if anything .	0
224	Can hardly hear our tv .	0
225	I have just added Treblinka : By Carlo Mattogno , Extermination Camp or Transit Camp ?	0
226	If anyone wants to watch sports , whether white or non-white , let them .	0
227	Thank you	0
228	Been a dream of mine to visit Iceland for years now .	0
229	I put Neo-cons and Liberals in the same category as far as whites go .	0
230	Then keep changing the name of the file as new movies come out .	0
231	i'd love to learn wrestling man .	0
232	That is truly sad , I do n't know how anyone could destroy something that is so old .	0
233	When the populations are not seperated racial mixing occurs and that is genocide .	1
234	It's a failure of the irish to do n't have a strong right radical party of their own .	0
235	Anyone who 's been to Newark knows that it 's pretty much a third world country .	0
236	http://www.wntube.net/play.php ? vid = 1428 & code = 108	0
237	Is n't the EU wonderful ?	0
238	ive seen some very beautiful white women and nothing sickens me more than to see them pull up at the mall , grocery store , or gas station and think damn shes beautiful then to see her open the back door and walk in with an oreo baby kinda makes you wish it was still 1940 here in alabama 16	1
239	It 's going viral on Youtube - warning the lesbian ' groid gets aggressive on the whites for whatever reason : YouTube - Video Caught On Tape Lesbian Or Young Man Going Wild On BART Train In Oakland !	1
240	I was wondering if there is any sort of interest among nordic nationalists or any organizations which promote the unification of Norway , Sweden , Denmark and Iceland ?	0
241	It warms my heart to see that apparently there 's more than just one pro-White organization in San Diego area planning activities !	0
242	I ve been to cleveland several times for concerts and such but can only stand it for a few hours than i have to go .	0
243	They will never acknowledge it no matter how much proof you have .	0
244	Look how they try to silence then refuse to speak to a new member who posted it in innocence .	0
245	Japan REACTOR - RODS MELT !	0
246	Oh dear mother of grace !	0
247	And one of thing I like in football , among football fans many white patriots Right wing ultras RUS - YouTube	0
248	this video pretty much proves the local demographics .	0
249	I mean seriously , this is farcical .	0
250	Readers are encouraged to go to Websites for information on costs and financial aid offered by these excellent schools .	0
251	W.P.W.W. : attack	0
252	The peanut butter was not as important as the time machine used to go back and teach the ancient Incans how to make it .	0
253	There are lots of  and  kids in the system gays could adopt .	1
254	Seems to me that aluminum is lighter , softer , more prone to distortion , and creates more friction , as well as corroding more easily .	0
255	I think ' Liberals ' would promote that type of mating because only randomness in your line determines your mate and not any other factor .	0
256	www.third-reich-books.com - English translations of hundreds of Third Reich originals without negative commentary !	0
257	I very much doubt anybody else will ask me because hardly anybody else goes on like you .	0
258	Angry Aryans is probably my fav band .	0
259	You may want to read more about it .	0
260	Hopefully these video 's can wake you all up abit - [ youtube ] twHzXN3kNTs [ /youtube ] [ youtube ] DiLbAEQqrqY [ /youtube ] [ youtube ] x9QNKB34cJo [ /youtube ] [ youtube ] LZf _ Ag7SmxI [ /youtube ] Oppression and Violence ?	0
261	Every day they erase more of our past .	0
262	I think he had a near death experience and saw where he is going and now he 's clinging to life with desperate tenacity	0
263	We just recently visited a relative in London .. Lord god , 2011 London is nothing like the 1950 's London I spent holidays in as a wee kid .	0
264	You will find many true White Nationalists indeed have tattoos so your statement they are stupid and retarded is all your own , you wont make many friend here with that attitude .	0
265	We have n't heard this exquisitely beautiful song in a while .	0
266	Shame on you for using such an ignorant and laughable argument .	0
267	We had Dresden remembrance last year and will again this year	0
268	Whatever other activities they have been doing I am currently unaware of .	0
269	All of these victims can be found here on STORMFRONT .	0
270	Like the parasites they are they simply moved to a new host , to continue their destruction of Western White civilization and culture	1
271	Show your support for Golden Dawn and sign the petition , https : //secure.avaaz.org/en/petition ... _ free _ country/	0
272	You can still bring that to the attention of local media and civil society groups .	0
273	No amount of educational funds will drag the population out of it 's sludge .	0
274	Meanwhile those nonwhites continue to breed even as their nonwhite societies continue to inflict their harsh uncivilized nonwhite culture on us .	1
275	Jeremy Moore was shot and killed at an Oklahoma City apartment complex while delivery a pizza back in November 2008 .	0
276	Among  women , abortions out number live births by three to two .	0
277	The `` big boy toy '' is an English built Moore and Harris caplock double in .69/12g.	0
278	No problem .	0
279	I 've seen interviews of them and they seem trashy .	0
280	If I knew that it would be used for what I sent it for then I would not have a problem giving money but trust is the main key there .	0
281	It was so good !	0
282	It is the lack of government having a role in our culture which has resulted in what Western culture is today .	0
283	Innocent whites including white children all murdered by heartless groid savages .	1
284	Virtually all of those rapes are committed by non-whites .	0
285	I wish you the best !!!	0
286	i love it when s get a taste of thier own vile medicene I hope each and every one of them young to old starve in the cold	1
287	well, i have been working on something for self defense in one of those situations in which guns have been confiscated. essentially , training with sledgehammer and axe in a shtf moment going old school barbarian might be one 's only hope .	0
288	I saw two  there and a few on their website .	0
289	I want to have 3 children ! 2 girls and 1 boy but the hardest part now is i got to try and find someone to make them with , but so far no luck	0
290	Search for it .	0
291	Hello, Do you want to know how i think nationalism ?	0
292	The Great Northwest Oktoberfest | Whitefish , MT 59937 Join us in beautiful Whitefish , Montana for two weekends of authentic German beer , food , music and fun - Montana-style !	0
293	2. grades/age groups Whatever works 3. discipline tactics I do n't know .	0
294	Another reason it might say so in the Census is because whites like me refused to fill out the census , to deliberately help skew it towards whinorities .	0
295	The amount of the Armenians chromosome haplotypes are closer to the England one .	0
296	Thank you , she definitely is something else !	0
297	INTJ Introvert ( 89 % ) iNtuitive ( 25 % ) iNtuitive Thinking ( 50 % ) Judging ( 67 % ) You have strong preference of Introversion over Extraversion ( 89 % ) You have moderate preference of Intuition over Sensing ( 25 % ) You have moderate preference of Thinking over Feeling ( 50 % ) You have distinctive preference of Judging over Perceiving ( 67 % )	0
298	The citizens who look to fight the people that walk the street are targeting the foot of the beast .	0
299	I am a 33 year old single white male in northern Virginia .	0
300	I wanted to shoot myself when I was there .	0
301	They just do their job as God has given them the light to perceive it .	0
302	The Wolf	0
303	Of course if people would stop going to these places then they would never be able to earn enough money to start up foreign cesspits in Irish towns .	0
304	On Stormfront usually we try to respect feelings of those who find scantily dressed ( bikini etc ) images or suggestive poses tacky .	0
305	LOL, ye she is gorgeous and a great talent as well .	0
306	I 'm going to carefully study it so hopefully I 'll have some decent input to contribute .	0
307	I have long loved Tchaikovsky ballets and Mussorgsky operas and now I enjoy Russian traditional music as well .	0
308	I 'm surprised Greek or some Asiatic languages did n't pop up .	0
309	More broadly , of course I wish to see white countries get-on with each other but if it came down to a choice between my country 's interests and those of another white country I would put my own first .	0
310	And the weak may leave the Folk at a time of their choosing .	0
311	You can go straight into a community college without GED , you just have to pass the tests .	0
312	-Zoe	0
313	I mean just look at these photos , dont you get same feeling ?	0
314	You are joining a unit that is famous for its great spirit and effectiveness at awakening our kinsmen .	0
315	I remember going on them when I was a young boy .	0
316	Hi, new to the site , saw your message , i live in Aurora and would like to meet some good ppl here , Brian	0
317	I would n't marry a asian even after cirurgy .	1
318	The KKK sent a shiver of fear down the spines of our enemies like most will never know .	0
319	We need more of our kids on the honor role and in college , crowding out the non-W 's !	1
320	This savage has n't moved on from 300 years ago where her ancestors used to cook their enemies in cauldrons , ghastly people .	1
321	Hi i need some information to understand the meaning of the negrogreek homo and the race-mixer tag of the HELLENIC THREAD .	0
322	Get the dogs out and track him down , I say !!!	0
323	Savage .300 Mag .	0
324	 Man MURDERS 15 Year Old WHITE GIRL In Her BEDROOM - YouTube ZAKESHIA CAUGHT IT ON TAPE - YouTube Young white girl killed by  man she met online - YouTube http://www.youtube.com/watch ? v = fQPaZvlq4xQ & feature = endscreen & NR = 1 Ashley Taylor talks of being attacked on live TV - YouTube	0
325	Every white person is welcome here with the reminder to have an eye for the gypsies .	0
326	`` Gott MIt Uns '' 88	0
327	Marco Laszcz is a singer and mastermind of the band Sleipnir .	0
328	To understand ancient Egyptians you should read up on modern Egyptians .	0
329	Another example of affirmative action gone bad !	0
330	So they can get reparations for their great grand parents ' `` suffering '' plus more .	1
331	WE GOT MONEY AROUND HERE TOO Compton Crips Pt.1 - YouTube These negroes are in the middle of the street , seems like something of a zoo , playing with their cheap lowriders .	1
332	Agent Bulldog ( Sweden ) - Oi !	0
333	England has been  infested for centuries and the BBC is the centre of the Marxist propaganda mill .	1
334	We are badly outnumbered .	0
335	Diversity means anything but white .	0
336	Oh yes and to round it all off we have new neighbours moved in .	0
337	Beautiful Sweden poisoned by Arab/ trash .	1
338	I 'm a proud white male new to these forums .	0
339	They also said the same thing about the white girls that was severely beaten on Halloween a few years ago and also about the pregnant woman that was beaten in front of her own house .	0
340	http://www.boston.com/news/local/mas ... orture ? mode = PF	0
341	Here you go , 2 houses for 44,000 in a town that is 99 % white. located in a rural midwestern area .	0
342	I think its a bad thing to do and possibly harmful to the baby but I do n't think anyone besides the mother and the father of the baby should have a say so in if she quits or not .	0
343	Try El Paso Texas Soo much mudd invasion that the river is the same color as those playing/crossing in it .. year round !	1
344	lol.....	0
345	The Reptile Zoo I know is not actually a Zoo , but they take care of the animals who are dropped by people who does n't like their animals anymore .	0
346	Absolutely.	0
347	I saved the site now .	0
348	Hello Oleg If I did not know I would have thought it is a picture of one of our boer families here in south africa : - ) regards joe	0
349	Where did you go to school in Oregon ?	0
350	I wish I had been in the youth corps .	0
351	Taurus Judge buckshot ammo test : Federal 410 Handgun 000 vs 4 buck in ballistic gel - YouTube 4.25 `` barrel : Pretty devestating .	0
352	Thanks .	0
353	I'd like to meet with anyone pro-white , white nationalist or especially national socialist like myself .	0
354	And still the GREAT LIBERAL EXPERIMENT continues !!	0
355	I am looking for like-minded brothers and sisters in the Central New York state area who are looking to come together and form a racially aware society .	0
356	Take one of the scandinavian flags , and change the color from blue and yellow ( Sweden as an example ) and turn it to green and yellow. lol , it might be decent	0
357	Beautiful, I 'm so glad it went well .	0
358	See the threads : Over 1800 gathered to honour Daniel !	0
359	This is a good thread There is a lot of cheap WHITE places to live in the U.S. I have already drivin to look at some places already .	0
360	I 've seen several banned people get a new account and nothing bad came out of it , plus it 's not like the last account is active anymore .	0
361	Yeah, I saw that ad on TV with the Asian guy and the white girl and it bothered me .	0
362	Yeah, but back in the day there were n't that many millions nigs and wetbacks .	1
363	I 've seen this happen many times on this site during my lurking days .	0
364	Well good for you .	0
365	White kids dressing and acting  and all that * * * * , when I was in school we would beat the * * * * out of those kids .	0
366	I mean whites are offsprings of Homo sapien & Neanderthal hybrids .	0
367	But i wanted to be friends with them too .	0
368	I'm not a skin ... although my head has been shaved a few times !	0
369	Finns mixed with swedes and got blond hair and blue eyes , but ethnical finn look like tatar : dark hair , dark eyes , short height , round face .	0
370	I've been following the events in Ukraine and have noticed some troops using the SKS .	0
371	My father was born in Germany My mother 's parent 's moved from Ireland .	0
372	We know , but Trump 's kids are all married to or dating s and he 's expressed his full support of thelgbt community and gay marriage even if he is not out waving the fag rag in fag pride parades .	0
373	Everytime I hear the word `` Yugo '' I think of that scene in Dragnet , where Sergeant Joe Friday says `` the department furnished us with a 1985 Yugo , the cutting edge of serbo-croatian technology !! ''	0
374	I 'd love to speak with you .	0
375	I had an Irish boyfriend for 3 years once and he used to laugh about how in ireland you never saw  people .I guess things have changed a lot in 10 odd years	0
376	Welcome to Stormfront Ireland Ive seen the numbers at the bottom of a lot of posts , its just some kind of moderators code .	0
377	WPWW - eddie	0
378	They follow the queen ant and would die for her .	0
379	Does it surprise you that those White hating non-whites still want to live in White countries made GREAT by White people and brought low by non-whites ?	1
380	Although I work freelance , the degree keeps the door open for me to work for a firm if I choose to .	0
381	I went combing youtube today looking for more about JT Ready and how they are manning up the border .	0
382	Well, it 's a trick .	0
383	I am 1,96 meters tall , and I can pass as a Norwegian or Danish guy .	0
384	Please excuse my ignorance .	0
385	Well i have changed my Signature , i think it was stupid i was forced to do so just because some people dont like what i have to say , but i do hope my new one is acceptable. : attack	0
386	Is there anything like this on the market today ?	0
387	Traditionally, there have always been a lot of them despite the fact that NE Asians are the extreme version of our breeding strategy .	1
388	I hope there is room for one more as i am very excited about this .	0
389	I'm just dull sometimes ....	0
390	That literally hurt my brain and made me laugh while I was reading it , it 's so ridiculous that you really ca n't do anything else .	0
391	So you would refuse even other Nordic whites fleeing the  chaos in the south ?	1
392	In interviews with the sailors , Bikel learns of some of the high-pressure police interrogation techniques -- including the threat of the death penalty , sleep deprivation , and intimidation -- that led each of the `` Norfolk Four '' to confess , despite a lack of evidence linking them to the crime .	0
393	All of ukraine is Russia/Poland/Romania , you fake ukrainians .	1
394	Is it true in Norway , the spoken and written forms of the language are totally different ?	0
395	Long time no post , Turbo , good to see you back .	0
396	My family and I are wanting to come out and look around a little more .	0
397	No Kaboom .	0
398	You laugh at us but I have yet to see a picture of you .	0
399	I've read many post on here saying Israel gives training to US law enforcement .	0
400	In reality screwing up is it 's own punishment , and nothing deters nor rehabilitates .	0
401	I have no problem with  Pride .	0
402	Though I am not a Christian , I can read it alongside the English and try to figure out words I do n't know .	0
403	All I got from that is ...	0
404	Now , if you have an old beater to play with ....	0
405	What a fantastic idea !	0
406	If you are interested and capable please send brief resume to : Steeltoe69@worldnet.att.net More details will be sent to acceptable applicants .	0
407	It is a tough one ..	0
408	I see nothing wrong at all with Dr. Duke selling his book.He has dedicated years and many long hours to this cause and maybe you should rethink your statement .	0
409	I 'll most likely be moving to belfast .	0
410	Yes, I saw a news broadcast and their ethnic background was a foot note , quickly adding that this kind of abuse happens in all communities .	0
411	When I was a kid we used to laugh at the so-called indoor sport .	0
